name,lat,lng,aliases
Our Wisdom Boarding Secondary School,27.68976,83.19491,our wisdom boarding secondary school/our wisdom/आवर विज्डम बोर्डिङ माध्यमिक विद्यालय
Pajarkatti Secondary School,27.48848,83.54137,pajarkatti secondary school/pajarkatti/पजरकट्टी माध्यमिक विद्यालय
Paklihawa Campus (IAAS),27.48154,83.44646,paklihawa/IAAS paklihawa/paklihawa campus/पक्लिहवा क्याम्पस
Palnet Academy English Boarding School,27.4512,83.31277,palnet academy english boarding school/palnet
Parroha Multiple Campus,27.68509,83.34108,parroha campus/parrora/पर्रोहा बहुमुखी क्याम्पस
Pashupati Secondary School,27.70248,83.26354,pashupati secondary school/pashupati/पशुपति माध्यमिक विद्यालय
Pokharvindi Secondary School,27.49153,83.52189,pokharvindi secondary school/pokharvindi/पोखरभिण्डी माध्यमिक विद्यालय
Pragati Secondary School,27.56239,83.55618,pragati secondary school/pragati/प्रगति माध्यमिक विद्यालय
Rainbow Montessori Academy,27.65666,83.53276,rainbow montessori academy/rainbow montessori/रेन्बो मन्टेश्वरी एकेडेमी
Research Power Children Academy,27.47707,83.19741,research power children academy/research power children/रिसर्च पावर चिल्ड्रेन एकेडेमी
Rose Bud Academy,27.59643,83.4148,rose bud academy/rose bud/रोज बड एकेडेमी
Rupandehi Campus,27.5204,83.45851,rupandehi college/रुपन्देही क्याम्पस
Sagarmatha College,27.6458,83.58076,sagarmatha/सगरमाथा कलेज
Sagarmatha Secondary School,27.65041,83.57988,sagarmatha secondary school/sagarmatha/सगरमाथा माध्यमिक विद्यालय
Sahid Narayan Pokhrel Campus,27.68862,83.31472,narayan pokhrel/pokhrel campus/सहिद नारायण पोखरेल क्याम्पस
Sai Global Academy,27.50533,83.45351,sai global academy/sai global/साई ग्लोबल एकेडेमी
Saljhandi Secondary School,27.71059,83.25542,saljhandi secondary school/saljhandi/सल्झण्डी माध्यमिक विद्यालय
Sarasawati Higher Secondary School,27.62581,83.23672,sarasawati higher secondary school/sarasawati/सरस्वती उच्च माध्यमिक विद्यालय
Saraswoti Higher Secondary School,27.67243,83.30332,saraswoti higher secondary school/saraswoti/सरस्वती उच्च माध्यमिक विद्यालय
Shree Basantapur Dasharath Janata Secondary School,27.50926,83.49223,shree basantapur dasharath janata secondary school/basantapur dasharath janata secondary school/basantapur dasharath janata/श्री बसन्तपुर दशरथ जनता माध्यमिक विद्यालय
Shree Bhabisya Nirman Secondary School,27.59347,83.55983,shree bhabisya nirman secondary school/bhabisya nirman secondary school/bhabisya nirman/श्री भविष्य निर्माण माध्यमिक विद्यालय
Shree Brihspati College And Secondary School,27.52311,83.4636,shree brihspati college and secondary school/brihspati college and secondary school/brihspati and/श्री बृहस्पति कलेज एण्ड माध्यमिक विद्यालय
Shree Chipgadh Secondary School,27.51626,83.5878,shree chipgadh secondary school/chipgadh secondary school/chipgadh/श्री चिपगढ माध्यमिक विद्यालय
Shree Gauri Bhawani Secondary School,27.66074,83.19188,shree gauri bhawani secondary school/gauri bhawani secondary school/gauri bhawani/श्री गौरी भवानी माध्यमिक विद्यालय
Shree Kerwani Secondary School,27.64136,83.59665,shree kerwani secondary school/kerwani secondary school/kerwani/श्री केर्वानी माध्यमिक विद्यालय
Shree Naharpur Secondary School,27.68422,83.44572,shree naharpur secondary school/naharpur secondary school/naharpur/श्री नाहरपुर माध्यमिक विद्यालय
Shree Nawaratna Secondary School,27.66968,83.39359,shree nawaratna secondary school/nawaratna secondary school/nawaratna/श्री नवरत्न माध्यमिक विद्यालय
Shree Nepal Rastya Higher Secondary School,27.47643,83.20302,shree nepal rastya higher secondary school/nepal rastya higher secondary school/nepal rastya
Shree Pragati Secondary School,27.67725,83.45371,shree pragati secondary school/pragati secondary school/pragati/श्री प्रगति माध्यमिक विद्यालय
Shree Santi Namuna Higher Secondary School,27.63027,83.46857,shree santi namuna higher secondary school/santi namuna higher secondary school/santi namuna/श्री शान्ति नमुना उच्च माध्यमिक विद्यालय
Shree Shankar Secondary School,27.61807,83.42416,shree shankar secondary school/shankar secondary school/shankar/श्री शंकर माध्यमिक विद्यालय
Shree Thanidanda Secondary School,27.76112,83.42963,shree thanidanda secondary school/thanidanda secondary school/thanidanda/श्री थानीडाँडा माध्यमिक विद्यालय
Shree Tilottama Secondary School,27.74731,83.49765,shree tilottama secondary school/tilottama secondary school/tilottama/श्री तिलोत्तमा माध्यमिक विद्यालय
Shri Durga Secondary School,27.57383,83.44603,shri durga secondary school/durga secondary school/durga/श्री दुर्गा माध्यमिक विद्यालय
Shri Nawa Durga Secondary School,27.51204,83.42505,shri nawa durga secondary school/nawa durga secondary school/nawa durga/श्री नव दुर्गा माध्यमिक विद्यालय
Shri Tikuligadh Higher Secondary School,27.58373,83.43727,shri tikuligadh higher secondary school/tikuligadh higher secondary school/tikuligadh/श्री टिकुलीगढ उच्च माध्यमिक विद्यालय
St. Joseph College,27.59968,83.47309,saint joseph/st joseph/सेन्ट जोसेफ कलेज
Sunrise Global Academy,27.40782,83.25949,sunrise global academy/sunrise global/सनराइज ग्लोबल एकेडेमी
Tilottama English Secondary School,27.62459,83.40256,tilottama english secondary school/tilottama/तिलोत्तमा इङ्लिस माध्यमिक विद्यालय
